,cor_name,cor_rate,obligation,market_type,listed_date,offer_price,sicho_p,profit_percent,first_p,sales,profit,shares_to_pub,sub_rate,pre_demand_day,subs_day,l_exp_offer_price,h_exp_offer_price,title,label
0,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,쏘카·대성하이텍 상장 첫날 180도 다른 성적표,0
1,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"일반청약 흥행 이어갈까… 대성하이텍, 22일 코스닥시장 입성",0
2,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,다음 주 IPO는? 쏘카·대성하이텍 22일 상장,0
3,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,쏘카 6%↓ vs 대성하이텍 12%↑… 상장 희비쌍곡선,0
4,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"대성하이텍, 코스닥시장 연착륙…`2차전지주` 흥행 이어갈까",1
5,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"[돌격! 종목 맞수] 대성하이텍은 되고 쏘카는 안 되고…엇갈린 IPO 반응, 이유...",0
6,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"[22일 특징주] 사료주, 곡물 수입 가격 3분기 고점 전망에 '동반 상승'…쏘카...",2
7,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"새내기도 '태조이방원'…대성하이텍, 코스닥 데뷔전서 웃었다",0
8,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"대성하이텍, 코스닥 상장 첫날 주가 상승…시간외매매서도 강세 이어가나?",1
9,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"쏘카, 상장 첫날 공모가 하회…‘1조 원 클럽’ 입성도 실패",2
10,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"쏘카 공모주ㆍ대성하이텍 공모주 일정, 8월의 공모주 시장 뜨거울까",0
11,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"[IPO] 대성하이텍, 이달 상장...""글로벌 초정밀 스마트 머시닝 기업 도약""",1
12,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,[8월 공모주] 대성하이텍 수요예측 결과는? 공모가·상장일·주관사,0
13,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"정밀부품 제조업체 대성하이텍, 이달 22일 코스닥 입성",0
14,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"2차전지 출사표, 이번엔 '대성하이텍'",0
15,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"다음주 공모주 시장 쏘카 대성하이텍 동시 출격, 기대와 우려 교차",2
16,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"[더벨][IPO 모니터]대성하이텍, 공모가밴드 최상단 뚫었다",0
17,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,[8월6일자] 비즈니스포스트 아침의 주요기사,0
18,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,<메트로신문 8월 5일자 한줄뉴스>,0
19,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,[Re워치뉴스] 증시 침체 속 기업공개(IPO) 동상이몽,2
20,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"'차량공유 1위' 쏘카, '정밀기계부품 강자' 대성하이텍 일반청약",0
21,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"하반기 IPO '가늠자' 쏘카, 수요예측 결과는? 이번주 공모청약",0
22,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,[공시줍줍]공모주달력 8월 8~12일,0
23,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,"[DD주간브리핑] 美中 갈등 심화, 韓 경제 ‘노심초사’…윤 대통령, 이재용 부...",2
24,대성하이텍,1934.89,4.57,0,20220822,9000,13000,44.44,14600,112579,7412,0.78,1136.4,2022-08-04,2022-08-10,7400,9000,[이번 주 IPO] 8월 둘째 주 수요예측·청약 일정,0
